en,zh-cn,zh-tw,pos,description,,,,,,,,,,,,,,,,,,,,,
London,伦敦,倫敦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
long tail,长尾,長尾,adjective,,,,,,,,,,,,,,,,,,,,,,
long-tail,长尾,長尾,adjective,,,,,,,,,,,,,,,,,,,,,,
Longyearbyen,朗伊尔城,龍宜爾比恩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
look up,查找,查詢,verb,,,,,,,,,,,,,,,,,,,,,,
lookup,查找,查詢,verb,,,,,,,,,,,,,,,,,,,,,,
loop,循环,迴圈,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
loopback,回环,回送,verb,,,,,,,,,,,,,,,,,,,,,,
loopback address,回环地址,迴路位址,noun,,,,,,,,,,,,,,,,,,,,,,
Lord Howe,豪勋爵,羅豪,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Los Angeles,洛杉矶,洛杉磯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Louisville,刘易斯维尔,路易維爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lower Alpha/Latin,小写拉丁字符,小寫拉丁字元,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Armenian,小写亚美尼亚语,小寫亞美尼亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Greek,小写希腊字母,小寫希臘字母,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Princes,下太子区,下太子區,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lower Roman,下罗马语,小寫羅馬數字,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lower Sorbian,下索布语,下索布文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
LTR,LTR,LTR,noun,文字方向 Left to Right (从左到右) 的缩写，例如英文、繁体中文,,,,,,,,,,,,,,,,,,,,,
LTR,从左至右,從左至右,noun,文字方向 Left to Right (从左到右) 的缩写，例如英文、繁体中文,,,,,,,,,,,,,,,,,,,,,
Luanda,罗安达,盧安達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luba-Katanga,卢巴卡丹加语,盧巴卡丹加文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Lubumbashi,卢本巴希,羅彭巴布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Lusaka,卢萨卡,路沙卡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luxembourg,卢森堡,盧森堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Luxembourgish,卢森堡语,盧森堡文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Macanese pataca,澳门币,澳門幣,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Macao,澳门,澳門,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macau,澳门,澳門,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Macedonian,马其顿语,馬其頓文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Macedonian denar,马其顿代纳尔,馬其頓代納爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Maceio,马塞约,馬瑟歐,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
macOS,macOS,macOS,noun,操作系统名称,,,,,,,,,,,,,,,,,,,,,
Macquarie,麦格理岛,麥加利島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Madeira,马德拉群岛,馬迪拉群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Madrid,马德里,馬德里,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Magadan,马加丹,馬加丹,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mahe,马埃岛,馬赫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mailchimp,Mailchimp,Mailchimp,noun,邮件发信服务,,,,,,,,,,,,,,,,,,,,,
mailer,邮件程序,郵件程式,noun,,,,,,,,,,,,,,,,,,,,,,
maintenance,维护,維護,noun,,,,,,,,,,,,,,,,,,,,,,
Majuro,马朱罗,麥哲魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Makassar,望加锡,瑪加沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Malabo,马拉博,馬拉博,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Malagasy,马尔加什,馬達加斯加文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malagasy ariary,马达加斯加阿里阿里,馬達加斯加阿里亞里,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Malawian kwacha,马拉维克瓦查,馬拉威克瓦查,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Malay,马来语,馬來文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malayalam,马拉雅拉姆语,馬來亞拉姆文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malaysian ringgit,马来西亚林吉特,馬來西亞令吉,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Maldives,马尔代夫,馬爾地夫,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maldivian rufiyaa,马尔代夫拉菲亚,馬爾地夫拉菲亞,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
malicious software,恶意软件,惡意軟體,noun,,,,,,,,,,,,,,,,,,,,,,
Malta,马耳他,馬爾他,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maltese,马耳他语,馬爾他文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Malvinas,马尔维纳斯,馬爾維納斯,noun,,,,,,,,,,,,,,,,,,,,,,
malware,恶意软件,惡意程式碼,noun,,,,,,,,,,,,,,,,,,,,,,
manage,管理,管理,verb,,,,,,,,,,,,,,,,,,,,,,
management,管理,管理,noun,,,,,,,,,,,,,,,,,,,,,,
management,管理工作,管理工作,noun,,,,,,,,,,,,,,,,,,,,,,
manager,管理器,管理程式,noun,,,,,,,,,,,,,,,,,,,,,,
Managua,马那瓜,馬納瓜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Manaus,马瑙斯,瑪瑙斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
manifest,信息清单,資訊清單,noun,,,,,,,,,,,,,,,,,,,,,,
Manila,马尼拉,馬尼拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
manual install,手动安装,手動安裝,verb,,,,,,,,,,,,,,,,,,,,,,
manual installation,手动安装,手動安裝,noun,,,,,,,,,,,,,,,,,,,,,,
manually install,手动安装,手動安裝,verb,,,,,,,,,,,,,,,,,,,,,,
Manx,曼岛语,曼島文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Manx pound,马恩岛镑,曼島鎊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Maori,毛利语,毛利文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
mapping,映射,對應,adjective,,,,,,,,,,,,,,,,,,,,,,
Maputo,马普托,馬布多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marathi,马拉地语,馬拉提文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Marengo,马伦戈,馬倫戈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
margin,边界,邊界,noun,,,,,,,,,,,,,,,,,,,,,,
MariaDB,MariaDB,MariaDB,noun,数据库名称,,,,,,,,,,,,,,,,,,,,,
Mariehamn,玛丽港,瑪麗港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marigot,马里戈特,馬里戈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
mark,标记,標示,verb,,,,,,,,,,,,,,,,,,,,,,
Marquesas,马克萨斯,馬克沙斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Marshallese,马绍尔语,馬紹爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Martinique,马提尼克岛,馬丁尼克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Maseru,马塞卢,馬塞魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mastodon,Mastodon,Mastodon,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Matamoros,马塔莫罗斯,馬塔莫羅斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mauritanian ouguiya,毛里塔尼亚乌吉亚,茅利塔尼亞烏吉亞,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Mauritian rupee,毛里求斯卢比,模里西斯盧比,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Mauritius,毛里求斯,模里西斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mawson,莫森,茂遜,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mayotte,马约特岛,馬約特島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mazatlan,马萨特兰,馬札特蘭,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mbabane,姆巴巴内,墨巴本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
McMurdo,麦克默多,麥克馬多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
measurement,测量,測量,noun,,,,,,,,,,,,,,,,,,,,,,
media,媒体,媒體,noun,,,,,,,,,,,,,,,,,,,,,,
media library,媒体库,媒體庫,noun,,,,,,,,,,,,,,,,,,,,,,
media uploader,媒体上传器,媒體上傳程式,noun,,,,,,,,,,,,,,,,,,,,,,
Meetup,Meetup 聚会,Meetup 小聚,noun,,,,,,,,,,,,,,,,,,,,,,
Melbourne,墨尔本,墨爾本,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
memory,内存,記憶體,noun,,,,,,,,,,,,,,,,,,,,,,
memory leak,内存泄漏,記憶體流失,noun,适用于程序开发。意指当程序配置了可供使用的内存，但在执行完成后未释放这些配置的内存的情况。,,,,,,,,,,,,,,,,,,,,,
Mendoza,门多萨,門多薩,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Menominee,梅诺米尼,梅諾米尼,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
menu,菜单,菜單,noun,适用于餐饮及餐饮业相关内容,,,,,,,,,,,,,,,,,,,,,
menu,菜单,選單,noun,适用于信息系统,,,,,,,,,,,,,,,,,,,,,
Merida,梅里达,梅里達,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Messenger,Messenger,Messenger,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
method,方法,方法,noun,,,,,,,,,,,,,,,,,,,,,,
Metlakatla,梅特拉卡特拉,梅特拉卡特拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
MeWe,MeWe,MeWe,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Mexican peso,墨西哥比绍,墨西哥披索,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Mexico City,墨西哥城,墨西哥城,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Microsoft,微软,Microsoft,noun,,,,,,,,,,,,,,,,,,,,,,
Midway,中途岛,中途島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
migrate,迁移,移轉,verb,,,,,,,,,,,,,,,,,,,,,,
migration,迁移,移轉,noun,,,,,,,,,,,,,,,,,,,,,,
million,百万,百萬,noun,不要直译，该换算成本地用法就换算。举例来说，10 thousand 是 1 万 (不是 10 千)，12 million 是 1 千 2 百万 (或 1200 万，不是 12 百万)，1.4 billion 是 14 亿 (不是 1.4 十亿),,,,,,,,,,,,,,,,,,,,,
MIME,MIME,MIME,noun,,,,,,,,,,,,,,,,,,,,,,
MIME Type,MIME 类型,MIME 類型,noun,,,,,,,,,,,,,,,,,,,,,,
minimum requirement,最低安装要求,最低安裝需求,noun,,,,,,,,,,,,,,,,,,,,,,
Minsk,明斯克,明斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Miquelon,密克隆群岛,密克隆群島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
modal,强制回应对话框,強制回應對話方塊,noun,,,,,,,,,,,,,,,,,,,,,,
mode,模式,模式,noun,,,,,,,,,,,,,,,,,,,,,,
model,模型,模型,noun,,,,,,,,,,,,,,,,,,,,,,
model,型号,型號,noun,,,,,,,,,,,,,,,,,,,,,,
modern,新式,新式,adjective,,,,,,,,,,,,,,,,,,,,,,
modification,修改,修改,noun,,,,,,,,,,,,,,,,,,,,,,
modify,修改,修改,verb,,,,,,,,,,,,,,,,,,,,,,
module,模块,模組,noun,,,,,,,,,,,,,,,,,,,,,,
Mogadishu,摩加迪沙,摩加迪休,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Moldovan leu,摩尔多瓦列伊,摩爾多瓦列伊,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Monaco,摩纳哥,摩納哥,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Moncton,蒙克顿,蒙克頓,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Mongolian,蒙古文,蒙古文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Mongolian t&ouml;gr&ouml;g,蒙古图格鲁格,蒙古圖格里克,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Monrovia,蒙罗维亚,蒙羅維亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Monterrey,蒙特雷,蒙特利,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Montevideo,蒙得维的亚,蒙特維多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Monticello,蒙蒂塞洛,蒙蒂塞洛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Montreal,蒙特利尔,蒙特婁,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Montserrat,蒙特塞拉特,蒙特色拉特島,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Moroccan Arabic,摩洛哥 阿拉伯语,摩洛哥阿拉伯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Moroccan dirham,摩洛哥迪拉姆,摩洛哥迪爾汗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Moscow,莫斯科,莫斯科,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
mount,挂载,掛接,verb,适用于连接储存装置,,,,,,,,,,,,,,,,,,,,,
mouse,鼠标,滑鼠,noun,,,,,,,,,,,,,,,,,,,,,,
mouse shortcut,鼠标快捷键,滑鼠快速鍵,noun,,,,,,,,,,,,,,,,,,,,,,
mouseover,鼠标悬停,游標暫留,noun,,,,,,,,,,,,,,,,,,,,,,
Mozambican metical,莫桑比克梅蒂卡尔,莫三比克梅蒂卡爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
multibyte,多字节,多位元組,noun,,,,,,,,,,,,,,,,,,,,,,
multi-byte,多字节,多位元組,noun,,,,,,,,,,,,,,,,,,,,,,
multicurrency,多币种,多重貨幣,noun,,,,,,,,,,,,,,,,,,,,,,
multi-currency,多币种,多重貨幣,noun,,,,,,,,,,,,,,,,,,,,,,
multilingual,多语言,多語,adjective,,,,,,,,,,,,,,,,,,,,,,
multilingual,多语系,多語系,adjective,,,,,,,,,,,,,,,,,,,,,,
multipurpose,多用途,多用途,adjective,,,,,,,,,,,,,,,,,,,,,,
multi-purpose,多用途,多用途,adjective,,,,,,,,,,,,,,,,,,,,,,
multisite,多站点,多站網路,noun,,,,,,,,,,,,,,,,,,,,,,
Muscat,马斯喀特,馬斯喀特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
must use,强制使用,強制使用,adjective,适用于 WordPress 提及的 Must Use Plugin。,,,,,,,,,,,,,,,,,,,,,
must-use,强制使用,強制使用,adjective,适用于 WordPress 提及的 Must Use Plugin。,,,,,,,,,,,,,,,,,,,,,
Myanmar,缅甸,緬甸,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Myanmar (Burmese),缅甸语 (缅甸),緬甸文 (緬甸),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
MySQL,MySQL,MySQL,noun,数据库名称,,,,,,,,,,,,,,,,,,,,,
Nairobi,内罗毕,奈洛比,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Namibian dollar,纳米比亚元,納米比亞元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Nassau,拿骚,拿索,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nauru,瑙鲁语,諾魯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Nauru,瑙鲁,諾魯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Navajo,纳瓦霍语,納瓦荷文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Navigation menu,导航菜单,導覽選單,noun,,,,,,,,,,,,,,,,,,,,,,
NC,非商业性使用,非商業性,noun,适用于 Creative Commons 创用 CC 授权方式,,,,,,,,,,,,,,,,,,,,,
ND,禁止修改,禁止改作,noun,适用于 Creative Commons 创用 CC 授权方式,,,,,,,,,,,,,,,,,,,,,
Ndjamena,恩贾梅纳,恩加美納,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ndonga,恩东加语,恩東加文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Nepalese rupee,尼泊尔卢比,尼泊爾盧比,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Nepali,尼泊尔语,尼泊爾文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Netherlands Antillean guilder,荷属安的列斯盾,荷屬安的列斯盾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Network,多站点网络,多站網路,noun,适用于 WordPress 多站网络相关内容,,,,,,,,,,,,,,,,,,,,,
network,网络,網路,noun,,,,,,,,,,,,,,,,,,,,,,
new,新增,新增,verb,,,,,,,,,,,,,,,,,,,,,,
New Salem,新塞勒姆,新薩勒姆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
New Taiwan dollar,新台币,新台幣,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
New York,纽约,紐約,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
New Zealand dollar,新西兰元,紐西蘭元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
next page,下一页,下一頁,noun,,,,,,,,,,,,,,,,,,,,,,
NGINX,NGINX,NGINX,noun,网页服务器名称,,,,,,,,,,,,,,,,,,,,,
Niamey,尼亚美,尼阿美,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nias,尼亚斯语,尼亞斯文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Nicaraguan c&oacute;rdoba,尼加拉瓜科尔多瓦,尼加拉瓜科多巴,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Nickname,昵称,暱稱,noun,,,,,,,,,,,,,,,,,,,,,,
Nicosia,尼科西亚,尼古西亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nigerian naira,尼日利亚奈拉,奈及利亞奈拉,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Nipigon,尼皮贡,尼皮貢,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Niue,纽威岛,紐威島,noun,,,,,,,,,,,,,,,,,,,,,,
no title,无标题,無標題,noun,,,,,,,,,,,,,,,,,,,,,,
Nome,诺姆,諾姆,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
nonce,随机数,單次有效隨機碼,noun,,,,,,,,,,,,,,,,,,,,,,
noninfringement,不侵权,未侵權,noun,,,,,,,,,,,,,,,,,,,,,,
non-infringement,不侵权,未侵權,noun,,,,,,,,,,,,,,,,,,,,,,
non-whitespace,非空白字符,非空白字元,noun,,,,,,,,,,,,,,,,,,,,,,
Norfolk,诺福克,諾福克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Noronha,诺罗尼亚,諾拉哈,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
North,北方,北領地,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
North Dakota,北达科他州,北達科他,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
North Korean,朝鲜,朝鮮,noun,,,,,,,,,,,,,,,,,,,,,,
North Korean won,朝鲜元,朝鮮圓,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
North Ndebele,北恩德贝莱,北恩德比利文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Northern Sami,北萨米语,北沙米文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Norwegian,挪威语,挪威文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Norwegian (Bokm?l),挪威语（博克马尔语）,挪威文 (巴克摩),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Norwegian (Nynorsk),挪威语（新诺斯克语）,挪威文 (尼洛斯克),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Norwegian Bokmal,挪威博克马尔,挪威文 (巴克摩),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Norwegian krone,挪威克朗,挪威克朗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Norwegian Nynorsk,挪威尼诺斯克语,挪威文 (尼洛斯克),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
notation,符号,標記法,noun,,,,,,,,,,,,,,,,,,,,,,
notation,符号,符號,noun,,,,,,,,,,,,,,,,,,,,,,
notification,通知,通知,noun,,,,,,,,,,,,,,,,,,,,,,
Nouakchott,努瓦克肖特,諾克少,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Noumea,努美阿,諾米亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Novokuznetsk,新库兹涅茨克,新庫茲涅茨克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Novosibirsk,新西伯利亚,新西伯利亞,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
NSW,新南威尔士州,新南威爾斯省,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
numeric,整数,整數,noun,,,,,,,,,,,,,,,,,,,,,,
Nuuk,努克,努克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Nyanja,尼昂加语,尼揚賈文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
object,对象,物件,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
object cache,对象缓存,物件快取,noun,,,,,,,,,,,,,,,,,,,,,,
Occitan,奥克语,奧西坦文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
oEmbed,oEmbed,oEmbed,noun,,,,,,,,,,,,,,,,,,,,,,
offset,偏移量,偏移量,noun,,,,,,,,,,,,,,,,,,,,,,
offset,位移,位移,noun,,,,,,,,,,,,,,,,,,,,,,
Ojibwa,奥吉布瓦语,歐及布威文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ojinaga,奥希纳加,奧希納加,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Omani rial,阿曼里亚尔,阿曼里亞爾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Omsk,鄂木斯克,鄂木斯克,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
one-time,买断型,買斷型,adjective,适用于付费方式,,,,,,,,,,,,,,,,,,,,,
one-time,一次性,單次,adjective,,,,,,,,,,,,,,,,,,,,,,
one-time password,一次性密码,單次有效密碼,noun,,,,,,,,,,,,,,,,,,,,,,
one-to-one,一对一,一對一,noun,,,,,,,,,,,,,,,,,,,,,,
oops,哎呀,很抱歉,noun,,,,,,,,,,,,,,,,,,,,,,
opacity,不透明度,不透明度,noun,,,,,,,,,,,,,,,,,,,,,,
Open Graph,开放社交关系图,開放社交關係圖,noun,Facebook 官方译文,,,,,,,,,,,,,,,,,,,,,
open rate,打开率,開啟率,noun,,,,,,,,,,,,,,,,,,,,,,
open source,开源,開放原始碼,noun,,,,,,,,,,,,,,,,,,,,,,
Openverse,Openverse,Openverse,noun,目前由 Automattic 管理、维护、开发、更新的创用 CC 授权媒体档案搜索引擎。,,,,,,,,,,,,,,,,,,,,,
operating system,操作系统,作業系統,noun,,,,,,,,,,,,,,,,,,,,,,
operation system,操作系统,作業系統,noun,,,,,,,,,,,,,,,,,,,,,,
operator,操作符,運算子,noun,,,,,,,,,,,,,,,,,,,,,,
optimization,优化,最佳化,noun,,,,,,,,,,,,,,,,,,,,,,
optimize,优化,最佳化,noun,,,,,,,,,,,,,,,,,,,,,,
option,选项,選項,noun,,,,,,,,,,,,,,,,,,,,,,
Oral,乌拉尔,烏拉爾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Oriya,奥里亚语,歐利亞文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Oromo,奥罗莫语,奧羅蒙文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
OS,操作系统,作業系統,noun,一般来说，OS 会是 Content Management System (操作系统) 的缩写,,,,,,,,,,,,,,,,,,,,,
Oslo,奥斯陆,奧斯陸,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ossetian,奥塞梯语,奧塞提文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ossetic,奥塞梯语,奧塞提文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
OTP,OTP,OTP,noun,OTP 通常是 One-Time Password (单次有效密码) 的缩写,,,,,,,,,,,,,,,,,,,,,
OTP,一次性密码,單次有效密碼,noun,OTP 通常是 One-Time Password (单次有效密码) 的缩写,,,,,,,,,,,,,,,,,,,,,
Ouagadougou,瓦加杜古,瓦加杜古,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
outage,中断,中斷,noun,,,,,,,,,,,,,,,,,,,,,,
outdent,减少缩进,凸排,verb,,,,,,,,,,,,,,,,,,,,,,
outline,外框,外框,noun,适用于网页设计,,,,,,,,,,,,,,,,,,,,,
outline,大纲,大綱,noun,,,,,,,,,,,,,,,,,,,,,,
outline view,大纲视图,大綱檢視,noun,适用于检视方式名称,,,,,,,,,,,,,,,,,,,,,
overlay,覆盖,覆疊,verb,,,,,,,,,,,,,,,,,,,,,,
