en,zh-cn,pos,description,,,,,,,,,,,,,,,,,,,,,
Ethiopic,埃塞俄比亚,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Eucla,尤克拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Euro,欧元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Europe,欧洲,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
event,事件,noun,,,,,,,,,,,,,,,,,,,,,,
Ewe,埃维语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
excerpt,内容摘要,noun,,,,,,,,,,,,,,,,,,,,,,
exclamation point,感叹号,noun,,,,,,,,,,,,,,,,,,,,,,
existing,现有,adjective,,,,,,,,,,,,,,,,,,,,,,
expand,展开,verb,,,,,,,,,,,,,,,,,,,,,,
export,导出,verb,,,,,,,,,,,,,,,,,,,,,,
export as,导出为,verb,,,,,,,,,,,,,,,,,,,,,,
expression,表达式,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
extension,扩展功能,noun,,,,,,,,,,,,,,,,,,,,,,
extension,扩展名,noun,,,,,,,,,,,,,,,,,,,,,,
Facebook,Facebook,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Facebook Messenger,Facebook Messenger,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
Faeroe,法罗群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fakaofo,法考福,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,福克兰群岛,noun,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands pound,福克兰群岛镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
fallback,回退,noun,,,,,,,,,,,,,,,,,,,,,,
fallback chain,回退链,noun,,,,,,,,,,,,,,,,,,,,,,
false positive,误判,noun,,,,,,,,,,,,,,,,,,,,,,
Famagusta,法马古斯塔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
FAQ,常问问题,noun,,,,,,,,,,,,,,,,,,,,,,
Faroe,法罗群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Faroese,法罗语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
fatal,致命,adjective,,,,,,,,,,,,,,,,,,,,,,
fatal error,致命错误,noun,,,,,,,,,,,,,,,,,,,,,,
favicon,图标,noun,,,,,,,,,,,,,,,,,,,,,,
favorites,收藏夹,noun,,,,,,,,,,,,,,,,,,,,,,
featured,精选,adjective,,,,,,,,,,,,,,,,,,,,,,
featured image,特色图片,noun,,,,,,,,,,,,,,,,,,,,,,
featured post,特色文章,noun,,,,,,,,,,,,,,,,,,,,,,
feed,feed,noun,,,,,,,,,,,,,,,,,,,,,,
feedback,反馈,noun,,,,,,,,,,,,,,,,,,,,,,
field,字段,noun,,,,,,,,,,,,,,,,,,,,,,
field data,字段数据,noun,,,,,,,,,,,,,,,,,,,,,,
Fiji,斐济,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fijian,斐济语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Fijian dollar,斐济元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
file,文件,noun,,,,,,,,,,,,,,,,,,,,,,
File Transfer Protocol,文件传输协议,noun,,,,,,,,,,,,,,,,,,,,,,
filename,文件名,noun,,,,,,,,,,,,,,,,,,,,,,
filter,筛选器,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
filter,滤镜,noun,适用于多媒体处理,,,,,,,,,,,,,,,,,,,,,
filter,筛选,verb,,,,,,,,,,,,,,,,,,,,,,
filter,筛选条件,noun,,,,,,,,,,,,,,,,,,,,,,
filter hook,过滤钩子,noun,适用于区块编辑器、全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
Finnish,芬兰语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
firewall,防火墙,noun,,,,,,,,,,,,,,,,,,,,,,
flag,旗帜,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
flag,旗标,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
flag,旗帜,verb,,,,,,,,,,,,,,,,,,,,,,
flag,旗帜,verb,,,,,,,,,,,,,,,,,,,,,,
flat,扁平,noun,,,,,,,,,,,,,,,,,,,,,,
flat,扁平化,adjective,,,,,,,,,,,,,,,,,,,,,,
flip horizontal,水平翻转,verb,,,,,,,,,,,,,,,,,,,,,,
flip vertical,垂直翻转,verb,,,,,,,,,,,,,,,,,,,,,,
focal point,焦点,noun,,,,,,,,,,,,,,,,,,,,,,
fold,折叠,verb,,,,,,,,,,,,,,,,,,,,,,
folder,文件夹,noun,,,,,,,,,,,,,,,,,,,,,,
font,字体,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font collection,字体集,noun,,,,,,,,,,,,,,,,,,,,,,
font face,字体,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font family,字体系列,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font name,字体名称,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font size,字体大小,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font variant,字体变体,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
font weight,字体粗细,noun,适用于字体相关内容,,,,,,,,,,,,,,,,,,,,,
footer,页脚,noun,,,,,,,,,,,,,,,,,,,,,,
footnote,注脚,noun,,,,,,,,,,,,,,,,,,,,,,
foreground,前景,noun,,,,,,,,,,,,,,,,,,,,,,
form,表单,noun,,,,,,,,,,,,,,,,,,,,,,
Fort Nelson,纳尔逊堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fort Wayne,韦恩堡,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Fortaleza,福塔雷萨,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
forum,论坛,noun,,,,,,,,,,,,,,,,,,,,,,
FQDN,FQDN,noun,FQDN 是 Fully Qualified Domain Name (完整域名) 的缩写,,,,,,,,,,,,,,,,,,,,,
framework,框架,noun,,,,,,,,,,,,,,,,,,,,,,
Freetown,弗里敦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
French,法语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French (Belgium),法语（比利时）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French (Canada),法语（加拿大）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
French (France),法语（法国）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
frequently asked questions,常见问题集,noun,,,,,,,,,,,,,,,,,,,,,,
Frisian,弗里斯兰语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Friulian,弗留利语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
front end,前端,noun,,,,,,,,,,,,,,,,,,,,,,
front-end,前端,noun,,,,,,,,,,,,,,,,,,,,,,
FTP,FTP,noun,适用于通讯协议，FTP 是 File Transfer Protocol (文件传输协议) 的缩写,,,,,,,,,,,,,,,,,,,,,
Fulah,富拉赫语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
full site editing,全站编辑,noun,适用于区块编辑器、全站编辑相关内容,,,,,,,,,,,,,,,,,,,,,
Fully Qualified Domain Name,全限定域名,noun,,,,,,,,,,,,,,,,,,,,,,
Funafuti,富纳富提,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
function,函数,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
funding,资金,noun,,,,,,,,,,,,,,,,,,,,,,
funnel,漏斗,noun,,,,,,,,,,,,,,,,,,,,,,
Gaborone,哈博罗内,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gaelic,盖尔语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Galapagos,加拉帕戈斯群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Galician,加利西亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Gallery,图库,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
gallery,画廊,noun,,,,,,,,,,,,,,,,,,,,,,
Gambian dalasi,冈比亚达拉西,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Gambier,甘比尔群岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Ganda,干达语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
gateway,网关,noun,,,,,,,,,,,,,,,,,,,,,,
Gaza,加沙,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
GDPR,GDPR,noun,GDPR 是 General Data Protection Regulation (一般数据保护规定) 的缩写,,,,,,,,,,,,,,,,,,,,,
General Data Protection Regulation,一般数据保护条例,noun,,,,,,,,,,,,,,,,,,,,,,
General Public License,通用公共许可证,noun,,,,,,,,,,,,,,,,,,,,,,
generative,生成式,adjective,,,,,,,,,,,,,,,,,,,,,,
generative AI,生成式 AI,noun,,,,,,,,,,,,,,,,,,,,,,
generative pre-trained transformer,生成式预先训练转换器,noun,,,,,,,,,,,,,,,,,,,,,,
generator,生成器,noun,,,,,,,,,,,,,,,,,,,,,,
Generic top-level domain,通用顶级域名,noun,,,,,,,,,,,,,,,,,,,,,,
Georgian,格鲁吉亚语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Georgian lari,格鲁吉亚拉里,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
German,德语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
German (Austria),德语（奥地利）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
German (Formal),德语（正式）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
German (Switzerland),德语（瑞士）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
"German (Switzerland, Informal)",德语（瑞士，非正式）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ghana cedi,加纳塞地,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Gibraltar,直布罗陀,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Gibraltar pound,直布罗陀镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
GitHub,GitHub,noun,源代码存放库服务名称,,,,,,,,,,,,,,,,,,,,,
GitLab,GitLab,noun,源代码存放库服务名称,,,,,,,,,,,,,,,,,,,,,
Glace Bay,格莱斯湾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
GMT,格林威治标准时间 (GMT),noun,,,,,,,,,,,,,,,,,,,,,,
GMT+0,GMT+0,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+1,GMT+1,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+10,GMT+10,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+11,GMT+11,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+12,GMT+12,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+2,GMT+2,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+3,GMT+3,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+4,GMT+4,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+5,GMT+5,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+6,GMT+6,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+7,GMT+7,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+8,GMT+8,noun,,,,,,,,,,,,,,,,,,,,,,
GMT+9,GMT+9,noun,,,,,,,,,,,,,,,,,,,,,,
GMT0,GMT0,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-0,GMT-0,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-1,GMT-1,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-10,GMT-10,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-11,GMT-11,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-12,GMT-12,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-13,GMT-13,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-14,GMT-14,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-2,GMT-2,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-3,GMT-3,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-4,GMT-4,noun,,,,,,,,,,,,,,,,,,,,,, 
GMT-5,GMT-5,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-6,GMT-6,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-7,GMT-7,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-8,GMT-8,noun,,,,,,,,,,,,,,,,,,,,,,
GMT-9,GMT-9,noun,,,,,,,,,,,,,,,,,,,,,,
GNU General Public License,GNU 通用公共许可证,noun,,,,,,,,,,,,,,,,,,,,,,
go back,返回,verb,,,,,,,,,,,,,,,,,,,,,,
Godthab,戈特霍布,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Google,Google,noun,,,,,,,,,,,,,,,,,,,,,,
Google Analytics,Google 分析,noun,Google 中国官方译文，但是不建议使用,,,,,,,,,,,,,,,,,,,,,
Google Analytics,Google Analytics,noun,建议保留服务英文名称,,,,,,,,,,,,,,,,,,,,,
Google Docs,Google 文档,noun,,,,,,,,,,,,,,,,,,,,,,
Google Drive,Google 云端硬盘,noun,,,,,,,,,,,,,,,,,,,,,,
Google Fonts,Google 字体,noun,,,,,,,,,,,,,,,,,,,,,,
Google Fonts,Google Fonts 网页字体,noun,,,,,,,,,,,,,,,,,,,,,,
Google Maps,Google 地图,noun,,,,,,,,,,,,,,,,,,,,,,
Google My Business,Google 我的商家,noun,,,,,,,,,,,,,,,,,,,,,,
Google Photos,Google 图库,noun,,,,,,,,,,,,,,,,,,,,,,
Google Plus,Google+,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Google Sheets,Google 表格,noun,,,,,,,,,,,,,,,,,,,,,,
Google Slides,Google 幻灯片,noun,,,,,,,,,,,,,,,,,,,,,,
Google+,Google+,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
Goolge Business Profiles,Google 商家资料,noun,,,,,,,,,,,,,,,,,,,,,,
Goose Bay,古斯湾,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
GPL,GPL,noun,GPL 是 GNU General Public License (GNU 通用公众授权) 的缩写,,,,,,,,,,,,,,,,,,,,,
Grand Turk,大特克岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
grant,群组,verb,,,,,,,,,,,,,,,,,,,,,,
Gravatar,Gravatar,noun,个人头像服务名称,,,,,,,,,,,,,,,,,,,,,
Greek,希腊语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Greenwich,格林威治,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Grenada,格林纳达,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
grid view,网格视图,noun,适用于检视方式名称,,,,,,,,,,,,,,,,,,,,,
group,群组,noun,,,,,,,,,,,,,,,,,,,,,,
group,组合,verb,,,,,,,,,,,,,,,,,,,,,,
gTLD,gTLD,noun,Generic top-level domain (通用顶级域) 的缩写,,,,,,,,,,,,,,,,,,,,,
gTLD,通用顶级域名,noun,Generic top-level domain (通用顶级域) 的缩写,,,,,,,,,,,,,,,,,,,,,
Guadalcanal,瓜达尔卡纳尔岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,瓜德罗普岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guam,关岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guarani,瓜拉尼语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Guatemala,危地马拉,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guatemalan quetzal,危地马拉格查尔,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Guayaquil,瓜亚基尔,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guernsey,根西岛,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guernsey pound,根西岛镑,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
guest,访客,noun,,,,,,,,,,,,,,,,,,,,,,
Guinean franc,几内亚法郎,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Gujarati,古吉拉特语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Gurmukhi,果鲁穆奇文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Gutenberg,Gutenberg,noun,Gutenberg 插件是 WordPress 5.0 之后内建的区块编辑器 (Block Editor) 的前期测试版本。请注意，Gutenberg 插件只有「Gutenberg」这个名称，没有「古腾堡」这种中译名称。此外，大多数开发者提及的 Gutenberg，反倒不是单指 Gutenberg 插件，而是泛指「区块编辑器」。,,,,,,,,,,,,,,,,,,,,,
Guyana,圭亚那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Guyanese dollar,圭亚那元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Haitian,海地语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Haitian gourde,海地古德,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Halifax,哈利法克斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
handle,句柄,noun,,,,,,,,,,,,,,,,,,,,,,
Hangul,韩文,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hangul Consonant,韩文辅音,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Harare,哈拉雷,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Harbin,哈尔滨,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
hard link,直接链接,noun,适用于操作系统及文件系统,,,,,,,,,,,,,,,,,,,,,
hardware,硬件,noun,,,,,,,,,,,,,,,,,,,,,,
hash,哈希,noun,,,,,,,,,,,,,,,,,,,,,,
hash,哈希值,noun,,,,,,,,,,,,,,,,,,,,,,
hash tag,话题标签,noun,,,,,,,,,,,,,,,,,,,,,,
hashtag,话题标签,noun,,,,,,,,,,,,,,,,,,,,,,
Hausa,豪萨语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Havana,哈瓦那,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hawaiian,夏威夷语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hazaragi,哈扎拉吉语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
header,标头,noun,适用于数据传输或数据标示,,,,,,,,,,,,,,,,,,,,,
header,页眉,noun,,,,,,,,,,,,,,,,,,,,,,
heading,标题,noun,,,,,,,,,,,,,,,,,,,,,,
heading level,标题级别,noun,,,,,,,,,,,,,,,,,,,,,,
heartbeat,活动信号,noun,,,,,,,,,,,,,,,,,,,,,,
Heavenly Stem,天干,noun,,,,,,,,,,,,,,,,,,,,,,
Hebrew,希伯来语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hebron,希伯伦,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
height,高度,noun,,,,,,,,,,,,,,,,,,,,,,
helper,帮助程序,noun,,,,,,,,,,,,,,,,,,,,,,
Helsinki,赫尔辛基,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Herero,赫雷罗语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hermosillo,埃莫西约,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
hide,隐藏,verb,,,,,,,,,,,,,,,,,,,,,,
hierarchy,层级架构,noun,,,,,,,,,,,,,,,,,,,,,,
Hindi,印地语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hindi (Devanagari),印地语（梵文）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
HiNet,HiNet,noun,,,,,,,,,,,,,,,,,,,,,,
Hiragana,日文平假名,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hiragana-Iroha,日文平假名 (伊吕波歌),noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hiri Motu,希里莫图语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
history,历史记录,noun,,,,,,,,,,,,,,,,,,,,,,
hit rate,命中率,noun,,,,,,,,,,,,,,,,,,,,,,
hit ratio,命中率,noun,,,,,,,,,,,,,,,,,,,,,,
Hmong,苗语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Ho Chi Minh,胡志明市,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hobart,霍巴特,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
hold,按住,verb,操作键盘、鼠标及屏幕,,,,,,,,,,,,,,,,,,,,,
Holy See,梵蒂冈,noun,,,,,,,,,,,,,,,,,,,,,,
Honduran lempira,洪都拉斯伦皮拉,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Hong Kong,香港,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Hong Kong dollar,港元,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Honolulu,檀香山,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
hook,钩子,noun,适用于程序开发,,,,,,,,,,,,,,,,,,,,,
horizontal,水平,adjective,,,,,,,,,,,,,,,,,,,,,,
hot fix,热修复,noun,,,,,,,,,,,,,,,,,,,,,,
hotfix,补丁程序,noun,,,,,,,,,,,,,,,,,,,,,,
Hovd,科布多,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
hover,鼠标悬停,verb,,,,,,,,,,,,,,,,,,,,,,
HSTS,HSTS,noun,适用于互联网通讯相关,,,,,,,,,,,,,,,,,,,,,
HTML entities,HTML 实体,noun,,,,,,,,,,,,,,,,,,,,,,
HTTP Strict Transport Security,HTTP 严格传输安全,noun,适用于互联网通讯相关，HSTS 的原文,,,,,,,,,,,,,,,,,,,,,
Hungarian,匈牙利语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Hungarian forint,匈牙利福林,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
hyphen,连字符,noun,适用于标点符号 -,,,,,,,,,,,,,,,,,,,,,
hyphenate,连字符,noun,适用于标点符号 -,,,,,,,,,,,,,,,,,,,,,
I18N,I18N,noun,I18N 是 Internationalization (国际化) 的缩写，因为原文中的 I 及 N 之间有 18 个字母,,,,,,,,,,,,,,,,,,,,,
I18N,国际化,noun,I18N 是 Internationalization (国际化) 的缩写，因为原文中的 I 及 N 之间有 18 个字母,,,,,,,,,,,,,,,,,,,,,
Icelandic,冰岛语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Icelandic kr&oacute;na,冰岛克朗,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
icon,图标,noun,,,,,,,,,,,,,,,,,,,,,,
ICQ,ICQ,noun,即时通讯软件名称,,,,,,,,,,,,,,,,,,,,,
identifier,识别码,noun,,,,,,,,,,,,,,,,,,,,,,
identify,识别,verb,,,,,,,,,,,,,,,,,,,,,,
Ido,伊多语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
iFrame,iFrame,noun,,,,,,,,,,,,,,,,,,,,,,
Igbo,伊博语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Image,图像,noun,WordPress 核心程序内建的文章格式 (Post Format) 之一，需要主题支持才能显示,,,,,,,,,,,,,,,,,,,,,
image,图片,noun,,,,,,,,,,,,,,,,,,,,,,
Image Caption,图片说明,noun,,,,,,,,,,,,,,,,,,,,,,
impersonate,仿真,verb,,,,,,,,,,,,,,,,,,,,,,
import,导入,verb,,,,,,,,,,,,,,,,,,,,,,
inactive,未启用,adjective,,,,,,,,,,,,,,,,,,,,,,
inactive,未使用,adjective,,,,,,,,,,,,,,,,,,,,,,
incident,事件,noun,,,,,,,,,,,,,,,,,,,,,,
incremental search,增量搜索,noun,,,,,,,,,,,,,,,,,,,,,,
indent,缩进,verb,,,,,,,,,,,,,,,,,,,,,,
index,索引,noun,适用于搜索引擎相关内容,,,,,,,,,,,,,,,,,,,,,
index,进行索引,verb,适用于搜索引擎相关内容,,,,,,,,,,,,,,,,,,,,,
index,指数,noun,,,,,,,,,,,,,,,,,,,,,,
Indian,印度,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Indian rupee,印度卢比,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
Indiana,印第安纳州,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Indianapolis,印第安纳波利斯,noun,洲、国家/地区、城市名称,,,,,,,,,,,,,,,,,,,,,
Indonesian,印度尼西亚,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Indonesian rupiah,印度尼西亚盾,noun,货币名称,,,,,,,,,,,,,,,,,,,,,
infinite scroll,无限滚动,noun,,,,,,,,,,,,,,,,,,,,,,
info,信息,noun,,,,,,,,,,,,,,,,,,,,,,
information,信息,noun,,,,,,,,,,,,,,,,,,,,,,
infrastructure,基础设施,noun,,,,,,,,,,,,,,,,,,,,,,
infringement,侵权,noun,,,,,,,,,,,,,,,,,,,,,,
inline,内嵌,adjective,,,,,,,,,,,,,,,,,,,,,,
Inline CSS,内嵌 CSS,noun,,,,,,,,,,,,,,,,,,,,,,
Inline JavaScript,内嵌 JavaScript,noun,,,,,,,,,,,,,,,,,,,,,,
Inline Script,内嵌脚本,noun,,,,,,,,,,,,,,,,,,,,,,
insert,插入,verb,,,,,,,,,,,,,,,,,,,,,,
insert into,插入至,verb,,,,,,,,,,,,,,,,,,,,,,
inserter,插入器,noun,,,,,,,,,,,,,,,,,,,,,,
insight,深入解析,noun,,,,,,,,,,,,,,,,,,,,,,
Instagram,Instagram,noun,社交网络服务平台名称,,,,,,,,,,,,,,,,,,,,,
installer,安装程序,noun,,,,,,,,,,,,,,,,,,,,,,
instance,实例,noun,,,,,,,,,,,,,,,,,,,,,,
integrate,集成,noun,,,,,,,,,,,,,,,,,,,,,,
integration,集成,noun,,,,,,,,,,,,,,,,,,,,,,
interface,接口,noun,,,,,,,,,,,,,,,,,,,,,,
Interlingua (International Auxiliary Language Association),人造语（国际辅助语言协会）,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Interlingue,人造语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Internationalization,国际化,noun,,,,,,,,,,,,,,,,,,,,,,
internet,互联网,noun,,,,,,,,,,,,,,,,,,,,,,
Inuktitut,因纽特语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
Inupiaq,伊努皮克语,noun,语言名称，界面中称语不称文,,,,,,,,,,,,,,,,,,,,,
